"Entidad","Año","TGF","TBR","TNR","Interpretacion"
"Chiapas","2010",2.748,1.34,1.338,"TGF > 2.1: fecundidad sobre nivel de reemplazo"
"Chiapas","2019",2.604,1.27,1.268,"TGF > 2.1: sigue sobre reemplazo, en descenso"
